This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
9971c21c8f4015a86bf3fa01459faa945573758c79c5489cef633407114e1d1f 6 5 14 5
76ffd5d9a893814cdda38c446d3b09a3fafa40e52c6ef599d56cac96dc8f7216 6 6 14 0
a5e66c748ba611e79ac651cb28a3c68064befada6b026a3b944dbc209d180071 10 10 154 0
726abe41346f208ef8c9b01de445e58d3ea6d78988590de063e19fb5ef16ba70 1 1 2 0
cfebbd4208980c112d5c108cfdee7a1c10c3ef6a833f4ad24b3d0f2941f965b1 2 2 57 0
2d55a744b724e8191ef42326182e9ccaafee7b9ee8bc0ae50d5c54caf13b14c5 3 3 1 1
741a41ed6ee0af0dca3b4ce920e1be08bbc6e464daeddf87a3f2f6fb2bd28e2c 7 7 133 47
b5ff2885d30a28ebbf4b2b94f5971fe0dc74192fe746a629f36c7ec0946e28e6 17 13 460 784
6fba92bcec1285139066d2f7470dc4bbc3cc64fe4178e68b1ee4834fb427ecc4 6 6 1006 39
653da0678249aed8cf7a93172305cd72c6823a7ba6e78d8d3faa1c9787457311 7 7 2646 6
f618a6563c33624b51fb228321230cde4af17948b2d65a7e754de96591b1a872 1 1 941 0
58124afe0cf6c16c4cf90f92b811e6c28a9be9be8f10032a1376039a625230be 10 10 382 15
9198500625b6062f5adf64bddab1428e63da44d07dbef59fdecdb08c901fe5d8 36 36 3622 1015
6240ad7c40fa23354b33b2f513224ff38269afd02ed47bc642254a1e9265b1ec 34 34 5653 4570
81fcdef0a080c0770d1eab3f03702f446ca9ca7597898d89c243fac49e98fbd5 11 11 414 26
a26aa6a7c8c042505b837355e72734b79731c08622085a22b30d064a5e372ded 61 56 2698 962
c869c7d709c75d8a293522b7e825152701574b89b01fe0c14417806aff09f7af 30 23 1482 373
1c0be8f891c4bc17e85bdc9afbec47f9bdddfb8d5086ce999c1c2d6dba0897df 6 6 7481 1448
4bcd7c65438e3d9a5c65f24855f43c100b370df5ebe52801edf4189a6fc356e8 9 9 56 2
61c598253500fa56528793e4034eb26e8232a0ab8b4da56628ac462fe6302ac7 510 24 4659 3222
0ecff249f1bbf354a7c4902df50a2f3d4c4cc294a2b4e7ae69e9f55d79710d8d 14 13 2764 177
1d53d4f790748d8978ab705e75c36fe83e84dd97fe770e27d429ab524504d626 16 16 2333 86
e060fb6b4b7b5065d84debd686e30cfb6558338b9d8baacd5f684d7870e8e306 271 270 115677 4795
d0ea3faeea77a378a015aa431ff9a8c4ced5ed1a40cf20733aedbfa8f07b43e4 6 6 4004 895
de558d7ad6069e389915e036ed490bddba45c9a4a2aa596fc1122b066e9888f4 1 1 47 0
56a85cbc806dc57ce25fb219aaafe3d4f7700060f3888bbaeba51082bb740ddf 1 1 619 0
404846bd1df0b27b895fb9e1c5a0499ff168c816e03ae2ae354f7933eaa2093e 4 4 2762 298
1b958a9eceebcaf667417d7f01c437c826c2f2e9bcba51b696020a36323d6b8a 2 2 1793 12
